,Ano,TimeDaCasa,GolsTimeDaCasa,TimeVisitante,GolsTimeVisitante,QuantidadeTitulosTimeDaCasa,QuantidadeTitulosVisitante,Vencedor,RankTimeDaCasa,TotalPointsTimeDaCasa,RankTimeVisitante,TotalPointsTimeVisitante
66,1998,Romania,1,Colombia,0,0,0,TimeDaCasa,22.0,55.0,10.0,58.0
67,1998,Germany,2,USA,0,4,0,TimeDaCasa,2.0,65.0,11.0,58.0
68,1998,Scotland,1,Norway,1,0,0,Empate,41.0,48.0,7.0,60.0
69,1998,Brazil,3,Morocco,0,5,0,TimeDaCasa,1.0,72.0,13.0,57.0
70,1998,Chile,1,Austria,1,0,0,Empate,9.0,59.0,31.0,52.0
71,1998,Italy,3,Cameroon,0,4,0,TimeDaCasa,14.0,57.0,49.0,45.0
72,1998,South Africa,1,Denmark,1,0,0,Empate,24.0,55.0,27.0,53.0
73,1998,France,4,Saudi Arabia,0,2,0,TimeDaCasa,18.0,56.0,34.0,51.0
74,1998,Nigeria,1,Bulgaria,0,0,0,TimeDaCasa,74.0,37.0,35.0,50.0
75,1998,Spain,0,Paraguay,0,1,0,Empate,15.0,56.0,29.0,52.0
76,1998,Japan,0,Croatia,1,0,0,TimeVisitante,12.0,58.0,19.0,56.0
77,1998,Belgium,2,Mexico,2,0,0,Empate,36.0,50.0,4.0,61.0
78,1998,Netherlands,5,Korea Republic,0,0,0,TimeDaCasa,25.0,54.0,20.0,55.0
79,1998,Germany,2,Yugoslavia,2,4,0,Empate,2.0,65.0,8.0,59.0
80,1998,Argentina,5,Jamaica,0,2,0,TimeDaCasa,6.0,60.0,30.0,52.0
82,1998,Colombia,1,Tunisia,0,0,0,TimeDaCasa,10.0,58.0,21.0,55.0
83,1998,Romania,2,England,1,0,1,TimeDaCasa,22.0,55.0,5.0,60.0
84,1998,Italy,2,Austria,1,4,0,TimeDaCasa,14.0,57.0,31.0,52.0
85,1998,Chile,1,Cameroon,1,0,0,Empate,9.0,59.0,49.0,45.0
86,1998,Scotland,0,Morocco,3,0,0,TimeVisitante,41.0,48.0,13.0,57.0
87,1998,Brazil,1,Norway,2,5,0,TimeVisitante,1.0,72.0,7.0,60.0
88,1998,France,2,Denmark,1,2,0,TimeDaCasa,18.0,56.0,27.0,53.0
89,1998,South Africa,2,Saudi Arabia,2,0,0,Empate,24.0,55.0,34.0,51.0
90,1998,Spain,6,Bulgaria,1,1,0,TimeDaCasa,15.0,56.0,35.0,50.0
91,1998,Nigeria,1,Paraguay,3,0,0,TimeVisitante,74.0,37.0,29.0,52.0
92,1998,Belgium,1,Korea Republic,1,0,0,Empate,36.0,50.0,20.0,55.0
93,1998,Netherlands,2,Mexico,2,0,0,Empate,25.0,54.0,4.0,61.0
95,1998,USA,0,Yugoslavia,1,0,0,TimeVisitante,11.0,58.0,8.0,59.0
96,1998,Japan,1,Jamaica,2,0,0,TimeVisitante,12.0,58.0,30.0,52.0
97,1998,Argentina,1,Croatia,0,2,0,TimeDaCasa,6.0,60.0,19.0,56.0
98,1998,Romania,1,Tunisia,1,0,0,Empate,22.0,55.0,21.0,55.0
99,1998,Colombia,0,England,2,0,1,TimeVisitante,10.0,58.0,5.0,60.0
100,1998,Italy,1,Norway,0,4,0,TimeDaCasa,14.0,57.0,7.0,60.0
101,1998,Brazil,4,Chile,1,5,0,TimeDaCasa,1.0,72.0,9.0,59.0
102,1998,France,1,Paraguay,0,2,0,TimeDaCasa,18.0,56.0,29.0,52.0
103,1998,Nigeria,1,Denmark,4,0,0,TimeVisitante,74.0,37.0,27.0,53.0
104,1998,Germany,2,Mexico,1,4,0,TimeDaCasa,2.0,65.0,4.0,61.0
105,1998,Netherlands,2,Yugoslavia,1,0,0,TimeDaCasa,25.0,54.0,8.0,59.0
106,1998,Romania,0,Croatia,1,0,0,TimeVisitante,22.0,55.0,19.0,56.0
107,1998,Argentina,2,England,2,2,1,Empate,6.0,60.0,5.0,60.0
108,1998,Italy,0,France,0,4,2,Empate,14.0,57.0,18.0,56.0
109,1998,Brazil,3,Denmark,2,5,0,TimeDaCasa,1.0,72.0,27.0,53.0
110,1998,Netherlands,2,Argentina,1,0,2,TimeDaCasa,25.0,54.0,6.0,60.0
111,1998,Germany,0,Croatia,3,4,0,TimeVisitante,2.0,65.0,19.0,56.0
112,1998,Brazil,1,Netherlands,1,5,0,Empate,1.0,72.0,25.0,54.0
113,1998,France,2,Croatia,1,2,0,TimeDaCasa,18.0,56.0,19.0,56.0
114,1998,Netherlands,1,Croatia,2,0,0,TimeVisitante,25.0,54.0,19.0,56.0
115,1998,Brazil,0,France,3,5,2,TimeVisitante,1.0,72.0,18.0,56.0
116,2002,France,0,Senegal,1,2,0,TimeVisitante,1.0,802.0,42.0,599.0
117,2002,Uruguay,1,Denmark,2,2,0,TimeVisitante,24.0,652.0,20.0,657.0
118,2002,Republic of Ireland,1,Cameroon,1,0,0,Empate,15.0,674.0,17.0,672.0
119,2002,Germany,8,Saudi Arabia,0,4,0,TimeDaCasa,11.0,695.0,34.0,627.0
120,2002,Argentina,1,Nigeria,0,2,0,TimeDaCasa,3.0,784.0,27.0,644.0
121,2002,Paraguay,2,South Africa,2,0,0,Empate,18.0,671.0,37.0,623.0
122,2002,England,1,Sweden,1,1,0,Empate,12.0,694.0,19.0,665.0
123,2002,Spain,3,Slovenia,1,1,0,TimeDaCasa,8.0,713.0,25.0,649.0
124,2002,Brazil,2,Turkey,1,5,0,TimeDaCasa,2.0,784.0,22.0,654.0
125,2002,Italy,2,Ecuador,0,4,0,TimeDaCasa,6.0,717.0,36.0,624.0
126,2002,Croatia,0,Mexico,1,0,0,TimeVisitante,21.0,655.0,7.0,716.0
127,2002,China PR,0,Costa Rica,2,0,0,TimeVisitante,50.0,566.0,29.0,643.0
128,2002,Japan,2,Belgium,2,0,0,Empate,32.0,634.0,23.0,653.0
129,2002,Korea Republic,2,Poland,0,0,0,TimeDaCasa,40.0,603.0,38.0,615.0
130,2002,Russia,2,Tunisia,0,0,0,TimeDaCasa,28.0,644.0,31.0,635.0
131,2002,USA,3,Portugal,2,0,0,TimeDaCasa,13.0,690.0,5.0,726.0
132,2002,Germany,1,Republic of Ireland,1,4,0,Empate,11.0,695.0,15.0,674.0
133,2002,Denmark,1,Senegal,1,0,0,Empate,20.0,657.0,42.0,599.0
134,2002,Cameroon,1,Saudi Arabia,0,0,0,TimeDaCasa,17.0,672.0,34.0,627.0
135,2002,France,0,Uruguay,0,2,2,Empate,1.0,802.0,24.0,652.0
136,2002,Sweden,2,Nigeria,1,0,0,TimeDaCasa,19.0,665.0,27.0,644.0
137,2002,Argentina,0,England,1,2,1,TimeVisitante,3.0,784.0,12.0,694.0
138,2002,Spain,3,Paraguay,1,1,0,TimeDaCasa,8.0,713.0,18.0,671.0
139,2002,South Africa,1,Slovenia,0,0,0,TimeDaCasa,37.0,623.0,25.0,649.0
140,2002,Brazil,4,China PR,0,5,0,TimeDaCasa,2.0,784.0,50.0,566.0
141,2002,Italy,1,Croatia,2,4,0,TimeVisitante,6.0,717.0,21.0,655.0
142,2002,Costa Rica,1,Turkey,1,0,0,Empate,29.0,643.0,22.0,654.0
143,2002,Japan,1,Russia,0,0,0,TimeDaCasa,32.0,634.0,28.0,644.0
144,2002,Mexico,2,Ecuador,1,0,0,TimeDaCasa,7.0,716.0,36.0,624.0
145,2002,Korea Republic,1,USA,1,0,0,Empate,40.0,603.0,13.0,690.0
146,2002,Portugal,4,Poland,0,0,0,TimeDaCasa,5.0,726.0,38.0,615.0
147,2002,Tunisia,1,Belgium,1,0,0,Empate,31.0,635.0,23.0,653.0
148,2002,Denmark,2,France,0,0,2,TimeDaCasa,20.0,657.0,1.0,802.0
149,2002,Senegal,3,Uruguay,3,0,2,Empate,42.0,599.0,24.0,652.0
150,2002,Saudi Arabia,0,Republic of Ireland,3,0,0,TimeVisitante,34.0,627.0,15.0,674.0
151,2002,Cameroon,0,Germany,2,0,4,TimeVisitante,17.0,672.0,11.0,695.0
152,2002,Sweden,1,Argentina,1,0,2,Empate,19.0,665.0,3.0,784.0
153,2002,Nigeria,0,England,0,0,1,Empate,27.0,644.0,12.0,694.0
154,2002,Slovenia,1,Paraguay,3,0,0,TimeVisitante,25.0,649.0,18.0,671.0
155,2002,South Africa,2,Spain,3,0,1,TimeVisitante,37.0,623.0,8.0,713.0
156,2002,Costa Rica,2,Brazil,5,0,5,TimeVisitante,29.0,643.0,2.0,784.0
157,2002,Turkey,3,China PR,0,0,0,TimeDaCasa,22.0,654.0,50.0,566.0
158,2002,Ecuador,1,Croatia,0,0,0,TimeDaCasa,36.0,624.0,21.0,655.0
159,2002,Mexico,1,Italy,1,0,4,Empate,7.0,716.0,6.0,717.0
160,2002,Tunisia,0,Japan,2,0,0,TimeVisitante,31.0,635.0,32.0,634.0
161,2002,Portugal,0,Korea Republic,1,0,0,TimeVisitante,5.0,726.0,40.0,603.0
162,2002,Poland,3,USA,1,0,0,TimeDaCasa,38.0,615.0,13.0,690.0
163,2002,Belgium,3,Russia,2,0,0,TimeDaCasa,23.0,653.0,28.0,644.0
164,2002,Denmark,0,England,3,0,1,TimeVisitante,20.0,657.0,12.0,694.0
165,2002,Germany,1,Paraguay,0,4,0,TimeDaCasa,11.0,695.0,18.0,671.0
166,2002,Spain,1,Republic of Ireland,1,1,0,Empate,8.0,713.0,15.0,674.0
167,2002,Sweden,1,Senegal,2,0,0,TimeVisitante,19.0,665.0,42.0,599.0
168,2002,Brazil,2,Belgium,0,5,0,TimeDaCasa,2.0,784.0,23.0,653.0
169,2002,Mexico,0,USA,2,0,0,TimeVisitante,7.0,716.0,13.0,690.0
170,2002,Japan,0,Turkey,1,0,0,TimeVisitante,32.0,634.0,22.0,654.0
171,2002,Korea Republic,2,Italy,1,0,4,TimeDaCasa,40.0,603.0,6.0,717.0
172,2002,England,1,Brazil,2,1,5,TimeVisitante,12.0,694.0,2.0,784.0
173,2002,Germany,1,USA,0,4,0,TimeDaCasa,11.0,695.0,13.0,690.0
174,2002,Senegal,0,Turkey,1,0,0,TimeVisitante,42.0,599.0,22.0,654.0
175,2002,Spain,0,Korea Republic,0,1,0,Empate,8.0,713.0,40.0,603.0
176,2002,Germany,1,Korea Republic,0,4,0,TimeDaCasa,11.0,695.0,40.0,603.0
177,2002,Brazil,1,Turkey,0,5,0,TimeDaCasa,2.0,784.0,22.0,654.0
178,2002,Korea Republic,2,Turkey,3,0,0,TimeVisitante,40.0,603.0,22.0,654.0
179,2002,Germany,0,Brazil,2,4,5,TimeVisitante,11.0,695.0,2.0,784.0
180,2006,Germany,4,Costa Rica,2,4,0,TimeDaCasa,19.0,696.0,26.0,683.0
181,2006,Poland,0,Ecuador,2,0,0,TimeVisitante,29.0,677.0,39.0,631.0
182,2006,England,1,Paraguay,0,1,0,TimeDaCasa,10.0,741.0,33.0,653.0
183,2006,Trinidad and Tobago,0,Sweden,0,0,0,Empate,47.0,604.0,16.0,709.0
184,2006,Argentina,2,Côte d'Ivoire,1,2,0,TimeDaCasa,9.0,746.0,32.0,669.0
185,2006,Serbia and Montenegro,0,Netherlands,1,0,0,TimeVisitante,44.0,610.0,3.0,768.0
187,2006,Angola,0,Portugal,1,0,0,TimeVisitante,57.0,581.0,7.0,750.0
188,2006,Australia,3,Japan,1,0,0,TimeDaCasa,42.0,612.0,18.0,705.0
189,2006,USA,0,Czech Republic,3,0,0,TimeVisitante,5.0,756.0,2.0,772.0
190,2006,Italy,2,Ghana,0,4,0,TimeDaCasa,13.0,728.0,48.0,600.0
191,2006,Korea Republic,2,Togo,1,0,0,TimeDaCasa,29.0,677.0,61.0,569.0
192,2006,France,0,Switzerland,0,2,0,Empate,8.0,749.0,35.0,648.0
193,2006,Brazil,1,Croatia,0,5,0,TimeDaCasa,1.0,827.0,23.0,686.0
194,2006,Spain,4,Ukraine,0,1,0,TimeDaCasa,5.0,756.0,45.0,609.0
195,2006,Tunisia,2,Saudi Arabia,2,0,0,Empate,21.0,693.0,34.0,651.0
196,2006,Germany,1,Poland,0,4,0,TimeDaCasa,19.0,696.0,29.0,677.0
197,2006,Ecuador,3,Costa Rica,0,0,0,TimeDaCasa,39.0,631.0,26.0,683.0
198,2006,England,2,Trinidad and Tobago,0,1,0,TimeDaCasa,10.0,741.0,47.0,604.0
199,2006,Sweden,1,Paraguay,0,0,0,TimeDaCasa,16.0,709.0,33.0,653.0
200,2006,Argentina,6,Serbia and Montenegro,0,2,0,TimeDaCasa,9.0,746.0,44.0,610.0
201,2006,Netherlands,2,Côte d'Ivoire,1,0,0,TimeDaCasa,3.0,768.0,32.0,669.0
202,2006,Mexico,0,Angola,0,0,0,Empate,4.0,758.0,57.0,581.0
203,2006,Portugal,2,IR Iran,0,0,0,TimeDaCasa,7.0,750.0,23.0,686.0
204,2006,Czech Republic,0,Ghana,2,0,0,TimeVisitante,2.0,772.0,48.0,600.0
205,2006,Italy,1,USA,1,4,0,Empate,13.0,728.0,5.0,756.0
206,2006,Japan,0,Croatia,0,0,0,Empate,18.0,705.0,23.0,686.0
207,2006,Brazil,2,Australia,0,5,0,TimeDaCasa,1.0,827.0,42.0,612.0
208,2006,France,1,Korea Republic,1,2,0,Empate,8.0,749.0,29.0,677.0
209,2006,Togo,0,Switzerland,2,0,0,TimeVisitante,61.0,569.0,35.0,648.0
210,2006,Saudi Arabia,0,Ukraine,4,0,0,TimeVisitante,34.0,651.0,45.0,609.0
211,2006,Spain,3,Tunisia,1,1,0,TimeDaCasa,5.0,756.0,21.0,693.0
212,2006,Ecuador,0,Germany,3,0,4,TimeVisitante,39.0,631.0,19.0,696.0
213,2006,Costa Rica,1,Poland,2,0,0,TimeVisitante,26.0,683.0,29.0,677.0
214,2006,Sweden,2,England,2,0,1,Empate,16.0,709.0,10.0,741.0
215,2006,Paraguay,2,Trinidad and Tobago,0,0,0,TimeDaCasa,33.0,653.0,47.0,604.0
217,2006,Portugal,2,Mexico,1,0,0,TimeDaCasa,7.0,750.0,4.0,758.0
218,2006,Netherlands,0,Argentina,0,0,2,Empate,3.0,768.0,9.0,746.0
219,2006,Côte d'Ivoire,3,Serbia and Montenegro,2,0,0,TimeDaCasa,32.0,669.0,44.0,610.0
220,2006,Czech Republic,0,Italy,2,0,4,TimeVisitante,2.0,772.0,13.0,728.0
221,2006,Ghana,2,USA,1,0,0,TimeDaCasa,48.0,600.0,5.0,756.0
222,2006,Japan,1,Brazil,4,0,5,TimeVisitante,18.0,705.0,1.0,827.0
223,2006,Croatia,2,Australia,2,0,0,Empate,23.0,686.0,42.0,612.0
224,2006,Ukraine,1,Tunisia,0,0,0,TimeDaCasa,45.0,609.0,21.0,693.0
225,2006,Saudi Arabia,0,Spain,1,0,1,TimeVisitante,34.0,651.0,5.0,756.0
226,2006,Togo,0,France,2,0,2,TimeVisitante,61.0,569.0,8.0,749.0
227,2006,Switzerland,2,Korea Republic,0,0,0,TimeDaCasa,35.0,648.0,29.0,677.0
228,2006,Germany,2,Sweden,0,4,0,TimeDaCasa,19.0,696.0,16.0,709.0
229,2006,Argentina,2,Mexico,1,2,0,TimeDaCasa,9.0,746.0,4.0,758.0
230,2006,England,1,Ecuador,0,1,0,TimeDaCasa,10.0,741.0,39.0,631.0
231,2006,Portugal,1,Netherlands,0,0,0,TimeDaCasa,7.0,750.0,3.0,768.0
232,2006,Italy,1,Australia,0,4,0,TimeDaCasa,13.0,728.0,42.0,612.0
233,2006,Switzerland,0,Ukraine,0,0,0,Empate,35.0,648.0,45.0,609.0
234,2006,Brazil,3,Ghana,0,5,0,TimeDaCasa,1.0,827.0,48.0,600.0
235,2006,Spain,1,France,3,1,2,TimeVisitante,5.0,756.0,8.0,749.0
236,2006,Germany,1,Argentina,1,4,2,Empate,19.0,696.0,9.0,746.0
237,2006,Italy,3,Ukraine,0,4,0,TimeDaCasa,13.0,728.0,45.0,609.0
238,2006,England,0,Portugal,0,1,0,Empate,10.0,741.0,7.0,750.0
239,2006,Brazil,0,France,1,5,2,TimeVisitante,1.0,827.0,8.0,749.0
240,2006,Germany,0,Italy,2,4,4,TimeVisitante,19.0,696.0,13.0,728.0
241,2006,Portugal,0,France,1,0,2,TimeVisitante,7.0,750.0,8.0,749.0
242,2006,Germany,3,Portugal,1,4,0,TimeDaCasa,19.0,696.0,7.0,750.0
243,2006,Italy,1,France,1,4,2,Empate,13.0,728.0,8.0,749.0
